NatEmis,DataYear,Province,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
700401372,2025,GT,SANDSPRINGS INTERNATIONAL SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GE001,4,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,NOT APPLICABLE,28.443623,-26.254184,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,,797018029,SPRINGS CENTRAL,S NGQAYIMBANA,SPRINGS,SPRINGS,SPRINGS,"13, 8TH STREET, SPRINGS, SPRINGS, SPRINGS",,,99,NO,NONE,N/A,,NOT APPLICABLE,46023,NO,URBAN,,GT,NOT MOVED,700401372,99,,
700210062,2025,GT,CULTURA HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),901010,901010,8210062,,28.73908523,-25.8247933,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799072004,CALTURA PARK,MR EPHRAIM BHEKIE MASINA,CULTURA PARK,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"1, NAN HUA ROAD, CULTURA PARK, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",P O BOX 1752 BRONKHORSTSPRUIT 1020,,139310017,YES,ACD,Q4,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700210062,99,908,35
700210070,2025,GT,CVO SKOOL PRETORIA,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.37036357,-25.80269644,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799066001,ZWAVELPOORT AH,MARTHINUS JOHANNES KRUGER,,ZWAVELPOORT,BRONKHORSTSPRUIT,"373, VAN GEDEELTE, , ZWAVELPOORT, BRONKHORSTSPRUIT",75385 LYNNRIDGE MALL 0040,,121117398,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700210070,99,211,24
700210096,2025,GT,CULLINAN SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),901015,901015,8210096,,28.523584,-25.678019,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,799049003,CULLINAN SP,MPHO GIFT  MUTHAMBI,CULLINAN,CULLINAN,CULLINAN,"12,  GVG ZONDERWATER ROAD, CULLINAN, CULLINAN, CULLINAN",P/BAG X1009 CULLINAN 1000,,121117636,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700210096,99,785,35
700210179,2025,GT,HOËRSKOOL ERASMUS,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),901017,901017,8210179,,28.73318909,-25.81264274,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799072001,RIAMAR PARK,ETIENNE THOMAS ROSSOUW,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"1, CATHY STREET, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",P.O. BOX 220 BRONKHORSTSPRUIT 1020,,139320195,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700210179,99,1088,58
700210922,2025,GT,THE WALDORF SCHOOL AT ROSEMARY HILLS,OPEN,INDEPENDENT,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.43190122,-25.79021744,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799052001,MOOIPLAAS SH,HAYLEY ANNE  DAVIS,,CULLINAN,CULLINAN,"257, MOOIPLAAATS, , CULLINAN, CULLINAN",X35 HATFIELD 0028,,128021175,NO,NONE,N/A,,NOT APPLICABLE,,NO,RURAL,,GT,NOT MOVED,700210922,99,172,22
700211334,2025,GT,CHIPA-TABANE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),901008,901008,8211334,,28.528466,-25.64191096,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900099,799048001,REFILWE SP,KHOMOTSO CHARLES UOANE,REFILWE,CULLINAN,CULLINAN,"1988, ZWANE DRIVE, REFILWE, CULLINAN, CULLINAN",X 37 CULLINAN 1000,,120654263,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700211334,99,2493,85
700211359,2025,GT,DAN KUTUMELA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,2,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),901011,901011,8211359,,28.72036542,-25.78254074,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900102,799061001,ZITHOBENI SP,MOKWENA ROSE SARAH,ZITHOBENI,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"2, MOTHIBE DRIVE, ZITHOBENI, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",P.O. BOX 937 BRONKHORSTSPRUIT 1020,,135917965,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700211359,99,1658,52
700211599,2025,GT,DOXA DEO EDENDALE SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8211599,,28.44792402,-25.68860053,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,799050001,RAYTON SH,COEN CLOETE,,CULLINAN,CULLINAN,"1, CNR. ZAMBEZI DRIVE AND CULLINAN ROAD, , CULLINAN, CULLINAN",828 CULLINAN 1000,,120032007,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700211599,99,985,53
700211789,2025,GT,WOZANIBONE INTERM FARM SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,1,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),901058,901058,8211789,,28.53092836,-25.90494787,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900102,799026001,TSHWANE NU,SIMON BHEKA MAHLANGU,KAMEELZYNKRALL,BRONKHORSTSPRUIT,PRETORIA,"3, PLOT 36, KAMEELZYNKRALL, BRONKHORSTSPRUIT, PRETORIA",P.O. BOX 1271 BRONKHORSTSPRUIT 1020,,825563358,YES,ACD,Q1,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700211789,99,655,21
700212001,2025,GT,STAR OF HOPE SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8212001,,28.60914633,-25.46590564,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900099,799026001,TSHWANE NU,PATSON  SIZIBA,,DE WAGENDRIFT,CULLINAN,"37, MOLOTO, , DE WAGENDRIFT, CULLINAN",P. O. BOX 467 DE-WAGENDRIFT 1002,,127359921,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700212001,99,924,43
700212100,2025,GT,ALTHEA INDEPENDENT SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY,GN001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.74008894,-25.80893949,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799072002,BRONKHORSTSPRUIT SP,NICKEY OPPERMAN,,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"44, JOUBERT STREET, , BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",2164 BRONKHORSTSPRUIT 1020,,139322845,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700212100,99,338,21
700212209,2025,GT,MARAGON PRIVATE SCHOOL OLYMPUS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.32793014,-25.80623601,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799065003,BOADWALK,NOLENE  THERON,,OLYMPUS,PRETORIA,"7, ATTERBURY ROAD, , OLYMPUS, PRETORIA",1081 FAERIE GLEN 0043,,129910756,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700212209,99,,
700221291,2025,GT,LESEDI SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),901065,901065,8221291,,28.44736061,-25.77296835,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900100,799051001,DONKERHOEK SH,SIMON MATSIRI MALESELA MOJAPELO,DONKERHOEK,SILVERTON,PRETORIA,"82, OLD PRETORIA ROAD, DONKERHOEK, SILVERTON, PRETORIA",634 SILVERTON 0127,,127516249,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700221291,99,1998,57
700400155,2025,GT,MPUMELELO SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,2,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,901066,901066,8400155,,28.714672,-25.720226,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900103,799055001,RETHABISENG EXT 1,MASETENTSE CAROLINE MOLOKO,RETHABISBENG,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"874, NYEMBE STREET, RETHABISBENG, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",P.O BOX 2784 BRONKHORSTSPRUIT 1020,,825563606,YES,ACD,Q2,,NOT APPLICABLE,38877,YES,URBAN,1754,GT,NOT MOVED,700400155,99,1040,40
700400165,2025,GT,MONTESSORI ACADEMY AND COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.352903,-25.822842,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799066001,ZWAVELPOORT AH,HEIDI ANN  VAN STADEN,,ZWAVELPOORT,PRETORIA,"84, ZWAVELPOORT, , ZWAVELPOORT, PRETORIA",33782 GLENSTANTIA 0010,,129963312,NO,NONE,N/A,,NOT APPLICABLE,39006,NO,URBAN,,GT,NOT MOVED,700400165,99,109,15
700400183,2025,GT,ABBOTTS COLLEGE-PRETORIA EAST,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8400183,,28.35644,-25.78474,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799035119,LOMBARDY ESTATE,LEANDRI  FICK,,PRETORIA EAST,PRETORIA,"1, PONY ROAD, , PRETORIA EAST, PRETORIA",PO BOX 11494 SILVER LAKES 0054,,128091208,NO,NONE,N/A,,NOT APPLICABLE,39099,NO,URBAN,,GT,NOT MOVED,700400183,99,,
700400304,2025,GT,MARTHIE DE BRUIN SENTRUM,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8400304,,28.358889,-25.800278,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799065001,SHERE SH,MARTHIE DE BRUIN,,LYNWOOD,PRETORIA,"93, HENRY STREET, , LYNWOOD, PRETORIA",72184 LYNNWOODRIDGE 0040,,128090068,NO,NONE,N/A,,NOT APPLICABLE,40155,NO,URBAN,,GT,NOT MOVED,700400304,99,21,8
700400305,2025,GT,TYGER VALLEY COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.36842,-25.80131,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799066001,ZWAVELPOORT AH,MICHAEL ASHLEY SCHWARTZ,,LYNWOOD,PRETORIA,"40, CNR. VALLEY DRIVE AND LYNNWOOD ROAD, , LYNWOOD, PRETORIA",P.O. BOX 11729 SILVER LAKES 0054,,128092879,NO,NONE,N/A,,NOT APPLICABLE,40155,NO,URBAN,,GT,NOT MOVED,700400305,99,,
700400322,2025,GT,NOOITGEDACHT AKADEMIE SKOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY,GN001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,8400322,,28.74343941,-25.80385132,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799072002,BRONKHORSTSPRUIT SP,QUINTILLA  DE VRIES,,NOOITGEDACHT,BRONKHORSPRUIT,"17, MARK STREET, , NOOITGEDACHT, BRONKHORSPRUIT",2393 BRONKHOSTSPRUIT 1020,,839518191,NO,NONE,N/A,,NOT APPLICABLE,40079,NO,URBAN,,GT,NOT MOVED,700400322,99,24,7
700400357,2025,GT,ST JOHN'S CONVENT SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY,GN001,1,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.77221664,-25.76920728,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799062001,ROODEPOORT SH,ERNEST SELLO NTSIMANE,,SIZANANI,BRONKHORSTSPRUIT,"PLOT 504 JR/ 56, ROODEPOORT ROAD, , SIZANANI, BRONKHORSTSPRUIT",709 BRONKHORSTSPRUIT 1020,,100233660,NO,NONE,N/A,,NOT APPLICABLE,40544,NO,URBAN,,GT,NOT MOVED,700400357,99,141,14
700400360,2025,GT,CURRO ROODEPLAAT COMBINED,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.39167,-25.63,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900087,799040001,KAMEELFONTEIN SH,ALETTA SOPHIA THEUNISSEN,KAMEELSDRIFT,SINOVILLE,PRETORIA,"1, KAMEELFONTEIN ROAD, KAMEELSDRIFT, SINOVILLE, PRETORIA",POST BOX 15293 SINOVILLE 0129,,871068101,NO,NONE,N/A,,NOT APPLICABLE,40353,NO,URBAN,,GT,NOT MOVED,700400360,99,904,53
700400414,2025,GT,STEVE BIKOVILLE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,901094,99,8900414,,28.31683,-25.369734,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900073,799026001,TSHWANE NU,MAPULA HELLEN SEROTO,KLIPDRIFT,HAMMANSKRAAL,PRETORIA,"68, PORTION 68/53 OF JR, KLIPDRIFT, HAMMANSKRAAL, PRETORIA",P.O BOX 890 HAMMANSKRAAL 0400,,824835267,YES,ACD,Q1,,NOT APPLICABLE,40544,YES,URBAN,1754,GT,NOT MOVED,700400414,99,1113,35
700400435,2025,GT,CURRO HAZELDEAN HIGH SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.387333,-25.780694,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799052001,MOOIPLAAS SH,PIERRE LE ROUX,,HAZELDEAN,PRETORIA,", SILVER LAKES STREET, , HAZELDEAN, PRETORIA",POSTNET SUITE 270 / PRIVATE BAG X37 LYNNWOOD RIDGE 0040,,872879381,NO,NONE,N/A,,NOT APPLICABLE,40909,NO,URBAN,,GT,NOT MOVED,700400435,99,745,49
700400516,2025,GT,ZITHOBENI SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,1,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,901095,99,8400516,,28.729137,-25.775743,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799026001,TSHWANE NU,ANNA MMAPITSE MMAKO,ZITHOBENI EXT 3,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"3567, MASHEGO STREET, ZITHOBENI EXT 3, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",2649 BRONKHORSTSPRUIT 1020,,139372000,YES,ACD,Q1,,NOT APPLICABLE,40909,YES,URBAN,1754,GT,NOT MOVED,700400516,99,1052,33
700400638,2025,GT,BRONBERG AKADEMIE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.337817,-25.814457,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900101,799066001,ZWAVELPOORT AH,MARIANNE  GERICKE,OLYMPUS,PRETORIA,PRETORIA,", CNR AJAX AVENUE AND ATTERBURY ROAD, OLYMPUS, PRETORIA, PRETORIA","POSTNET SUIT 392, PRIVATE BAG X10 ELARDUSPARK 0047",,104468328,NO,NONE,N/A,,NOT APPLICABLE,41346,NO,URBAN,,GT,NOT MOVED,700400638,99,159,17
700400845,2025,GT,REDDFORD HOUSE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.361062,-25.87148,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900091,799070001,RIETFONTEIN SH,GRANT FERREIRA,THE HILLS ECO GOLF ESTATE,THE HILLS EXTENSION 4,PRETORIA,"489/490, GARSFONTEIN ROAD, THE HILLS ECO GOLF ESTATE, THE HILLS EXTENSION 4, PRETORIA",PRIVATE BAG X04 MENLO PARK 0102,,100600757,NO,NONE,N/A,,NOT APPLICABLE,42535,NO,URBAN,,GT,NOT MOVED,700400845,99,581,47
700401001,2025,GT,MARAGON MOOIKLOOF,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.327174,-25.857265,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900091,799070001,RIETFONTEIN SH,PIERRE LABUSCHAGNE,RIETFONTEIN,MOOIKLOOF,PRETORIA,"1103, ELAND STREET, RIETFONTEIN, MOOIKLOOF, PRETORIA",,,120035559,NO,NONE,N/A,,NOT APPLICABLE,43693,NO,URBAN,,GT,NOT MOVED,700401001,99,,
700401088,2025,GT,CURRO THE BLYDE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,GN001,3,INDEPENDENT,INDEPENDENT,NEW EDUCATION DEPARTMENT,99,99,,,28.37602955,-25.7563684,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900015,799052001,MOOIPLAAS SH,MONIQUE  DANEEL,THE BLYDE ESTATE,PRETORIA EAST,PRETORIA,"1736, TROPICAL STREET, THE BLYDE ESTATE, PRETORIA EAST, PRETORIA",,,870877970,NO,NONE,N/A,,NOT APPLICABLE,44197,NO,URBAN,,GT,NOT MOVED,700401088,99,446,19
700401291,2025,GT,REFILWE SECONDARY SCHOOL NO.1,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,3,PUBLIC,PUBLIC,NEW EDUCATION DEPARTMENT,99,99,,,28.527039,-25.626049,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900099,799026001,TSHWANE NU,,REFILWE MANOR EXT 9,CULLINAN,CULLINAN,"63, VUMBHONI STREET, REFILWE MANOR EXT 9, CULLINAN, CULLINAN",,,99,NO,NONE,Q3,,NOT APPLICABLE,45804,NO,URBAN,,GT,NOT MOVED,700401291,99,,
700920538,2025,GT,LINGITJHUDU SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,2,PUBLIC,PUBLIC,KWANDEBELE,901075,901075,8920538,,28.72722667,-25.67667667,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900104,799054002,EKANGALA SECTION A,JOHANNES MATOME  KWANGWA,DARK CITY,EKANGALA,BRONKHORSTSPRUIT,"521, EXTENSION 1, DARK CITY, EKANGALA, BRONKHORSTSPRUIT",P.O. BOX 485 EKANGALA 1021,,131705452,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,MP,GT,800002053,700920538,1380,40
700921428,2025,GT,SITJHEJIWE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,2,PUBLIC,PUBLIC,KWANDEBELE,901077,901077,8921428,,28.74111248,-25.68314321,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900104,799054003,EKANGALA SECTION B,ANNASTACIA ANNAH MASHABELA,EKANGALA,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"4210, 4210 SECTION B, EKANGALA, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",P.O BOX 294 P.O BOX 294 1021,,131705454,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,MP,GT,800002142,700921428,614,24
700921692,2025,GT,MAHLENGA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,1,PUBLIC,PUBLIC,KWANDEBELE,901076,901076,8921692,,28.89434167,-25.60123667,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900105,799038001,SOKHULUMI,NTSOBANE JOYCE MAHAMBA,SOKHULUMI VILLAGE,BRONKHORSTSPRUIT,PRETORIA,"111, SOKHULUMI VILLAGE, BRONKHORSTSPRUIT, PRETORIA",P O BOX 1239 BRONKHORSTSPRUIT 1020,,132850393,YES,ACD,Q1,,NOT APPLICABLE,,YES,URBAN,1754,MP,GT,800002169,700921692,582,20
700922475,2025,GT,STRAUSS SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GN001,2,PUBLIC,PUBLIC,KWANDEBELE,901078,901078,8922475,,28.72953331,-25.65761865,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,CITY OF TSHWANE METROPOLITAN MUNICIPALITY,79900104,799054001,EKANGALA SP,BALETO MASHABA,EKANGALA,BRONKHORSTSPRUIT,BRONKHORSTSPRUIT,"1106, SECTION F, EKANGALA, BRONKHORSTSPRUIT, BRONKHORSTSPRUIT",43 BRONKHORSTSPRUIT 1020,,136043170,YES,ACD,Q2,,NOT APPLICABLE,,YES,URBAN,1754,MP,GT,800002247,700922475,1522,48
700250027,2025,GT,AHMED TIMOL SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,GW001,3,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),902010,902010,8250027,,27.7556274,-26.16779218,WEST RAND DISTRICT MUNICIPALITY,MOGALE CITY LOCAL MUNICIPALITY,74801003,763004053,AZAADVILLE,SIVASHARAGAREN NAIDOO,AZAADVILLE,KRUGERSDORP,MOGALE CITY,"40685, KISMET AND KOHINOOR, AZAADVILLE, KRUGERSDORP, MOGALE CITY",9069 AZAADVILLE 1750,,114131323,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700250027,99,1348,44
700250183,2025,GT,HOËR TEGNIESE SKOOL N DIEDERICHS,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,TECHNICAL,GW001,5,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),902032,902032,8250183,,27.75648277,-26.08989875,WEST RAND DISTRICT MUNICIPALITY,MOGALE CITY LOCAL MUNICIPALITY,74801017,763004030,QUELLERIE PARK,ANTON STRAUSS,QUELLERIEPARK,KRUGERSDORP-WES,KRUGERSDORP,"2, SCHOEMAN RYLAAN, QUELLERIEPARK, KRUGERSDORP-WES, KRUGERSDORP",PRIVAAT SAK X2034 KRUGERSDORP 1740,,116603161,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700250183,99,841,44
